ClientID,ClientName,PriorityLevel,RequestedTaskIDs,GroupTag,AttributesJSON
C001,Acme Corp,5,"T001,T002,T003",Enterprise,"{""industry"": ""tech"", ""budget"": 50000}"
C002,StartupXYZ,3,"T002,T004",SMB,"{""industry"": ""fintech"", ""budget"": 15000}"
C003,Global Industries,4,"T001,T005,T006",Enterprise,"{""industry"": ""manufacturing"", ""budget"": 75000}"
C004,Local Shop,2,"T003",SMB,"{""industry"": ""retail"", ""budget"": 5000}"
C005,Innovation Labs,5,"T004,T007,T008",Enterprise,"{""industry"": ""research"", ""budget"": 100000}"
C006,Quick Service,1,"T002",SMB,"{""industry"": ""food"", ""budget"": 3000}"
C007,Data Systems,4,"T005,T009",Enterprise,"{""industry"": ""data"", ""budget"": 60000}"
C008,Creative Agency,3,"T006,T010",Creative,"{""industry"": ""marketing"", ""budget"": 25000}"
C009,Health Plus,5,"T007,T011",Healthcare,"{""industry"": ""healthcare"", ""budget"": 80000}"
C010,Education First,2,"T008,T012",Education,"{""industry"": ""education"", ""budget"": 20000}"
C011,Transport Co,3,"T009,T013",Logistics,"{""industry"": ""transport"", ""budget"": 35000}"
C012,Energy Solutions,4,"T010,T014",Energy,"{""industry"": ""energy"", ""budget"": 90000}"
C013,Finance Corp,5,"T011,T015",Finance,"{""industry"": ""finance"", ""budget"": 120000}"
C014,Media House,3,"T012,T016",Media,"{""industry"": ""media"", ""budget"": 40000}"
C015,Consulting Group,4,"T013,T017",Consulting,"{""industry"": ""consulting"", ""budget"": 55000}" 
